id_pedido,id_item,descricao,qtd,preco_unitario,preco_baseline
PC000001,1,Manta de revestimento de britador,5,36203.39,34803.5
PC000002,1,Placa de desgaste do britador,8,30240.42,29550.93
PC000002,2,Mandíbula fixa para britador,7,30158.62,33707.61
PC000003,1,Óculos de segurança ampla visão,137,309.76,321.77
PC000003,2,Óculos de segurança ampla visão,351,196.87,189.65
PC000003,3,Bota de segurança com biqueira,323,301.41,286.73
PC000003,4,Protetor auricular tipo plug,238,332.78,314.85
PC000003,5,Bota de segurança com biqueira,394,101.07,92.56
PC000004,1,Reforma de redutor industrial,1,18608.12,20913.02
PC000004,2,Serviço de manutenção preventiva de britador,1,48462.97,52709.81
PC000004,3,Serviço de manutenção preventiva de britador,2,88681.18,100782.48
PC000005,1,Serviço de solda especializada,2,38085.51,36387.56
PC000005,2,Manutenção corretiva de bomba de polpa,2,113621.96,101658.15
PC000005,3,Serviço de manutenção preventiva de britador,1,117992.47,109296.82
PC000005,4,Serviço de solda especializada,4,20729.78,20605.44
PC000006,1,Inspeção preditiva por análise de vibração,1,59454.59,59085.29
PC000006,2,Serviço de manutenção preventiva de britador,2,86005.16,79766.57
PC000006,3,Reforma de redutor industrial,2,26814.74,27926.48
PC000007,1,Fluido refrigerante concentrado,84,112.35,119.59
PC000007,2,Graxa de lítio EP2,106,766.48,848.79
PC000008,1,"Bit de perfuração 4 1/2""",3,511768.01,559783.37
PC000008,2,"Bit de perfuração 4 1/2""",1,1044588.61,1031524.7
PC000008,3,Haste de perfuração T45,3,1098365.31,1078564.02
PC000009,1,"Cabo de potência 0,6/1kV 240mm²",27,28642.66,32949.97
PC000009,2,Transformador a seco 500kVA,9,36504.95,39697.08
PC000009,3,Disjuntor caixa moldada 400A,22,14934.77,17178.72
PC000009,4,Transformador a seco 500kVA,16,10099.25,9702.97
PC000010,1,Mandíbula fixa para britador,8,45544.03,41586.95
PC000010,2,Eixo principal de britador,5,20240.38,19523.01
PC000010,3,Placa de desgaste do britador,6,34274.61,32609.55
PC000011,1,Transporte de equipamento pesado,1,65466.15,60458.96
PC000011,2,Locação de caminhão fora de estrada,2,54322.23,60133.95
PC000011,3,Transporte de equipamento pesado,5,24354.04,25507.9
PC000012,1,"Válvula borboleta 24""",8,8887.8,9424.67
PC000012,2,"Válvula borboleta 24""",8,26270.16,25497.65
PC000013,1,Fluido refrigerante concentrado,82,90.32,99.53
PC000013,2,Fluido refrigerante concentrado,160,597.49,546.61
PC000013,3,Fluido refrigerante concentrado,120,740.81,819.94
PC000013,4,Óleo hidráulico ISO VG 68,83,446.88,522.55
PC000013,5,Graxa de lítio EP2,200,184.92,206.81
PC000014,1,Correia transportadora EP630 3 lonas,4,7180.84,8270.46
PC000015,1,Luva de raspa de couro,288,80.25,84.88
PC000016,1,Protetor de pneu OTR,4,75230.09,67584.82
PC000017,1,Emulsão explosiva bombeada,127,617.47,577.6
PC000018,1,Cone de britagem,7,41457.82,41008.81
PC000018,2,Cone de britagem,7,27939.42,25332.04
PC000018,3,Eixo principal de britador,7,37774.37,44071.03
PC000019,1,Rolamento de britador,8,27512.19,29488.87
PC000019,2,Cone de britagem,8,43176.3,47519.51
PC000019,3,Placa de desgaste do britador,8,53990.42,53804.02
PC000019,4,Rolamento de britador,4,43930.7,44908.71
PC000019,5,Mandíbula fixa para britador,2,19952.44,19684.43
PC000020,1,Raspador de correia primário,4,11686.63,12234.48
PC000020,2,Emenda de correia vulcanizada,9,18484.34,19037.87
PC000020,3,Tambor de acionamento,6,25764.34,23454.84
PC000020,4,Emenda de correia vulcanizada,12,9536.87,8516.06
PC000021,1,Óculos de segurança ampla visão,367,77.9,89.67
PC000021,2,Óculos de segurança ampla visão,32,129.62,116.82
PC000022,1,Pneu OTR 40.00R57,4,25225.61,25179.24
PC000023,1,Rolamento de britador,7,63750.86,57615.26
PC000023,2,Cone de britagem,1,35737.26,40107.89
PC000023,3,Placa de desgaste do britador,4,47385.08,46831.85
PC000023,4,Mandíbula fixa para britador,2,34439.75,31071.28
PC000024,1,Transporte de equipamento pesado,2,10745.36,10001.59
PC000024,2,Serviço de movimentação logística interna,4,67508.72,73375.01
PC000025,1,Óculos de segurança ampla visão,236,343.16,331.27
PC000026,1,Booster 450g,193,362.39,349.99
PC000026,2,Emulsão explosiva bombeada,150,18.33,16.76
PC000026,3,Cordel detonante 10g/m,320,498.94,450.16
PC000026,4,Espoleta eletrônica,320,461.92,483.54
PC000026,5,Cordel detonante 10g/m,357,493.56,456.28
PC000027,1,"Válvula gaveta 12""",2,59170.3,63899.88
PC000027,2,Selo mecânico para bomba de polpa,3,58030.16,55589.61
PC000028,1,Cordel detonante 10g/m,68,253.46,287.38
PC000028,2,Estopim de segurança,356,488.66,437.84
PC000028,3,Emulsão explosiva bombeada,197,61.56,65.1
PC000029,1,Raspador de correia primário,11,6050.86,6994.81
PC000030,1,Pneu OTR 27.00R49,2,18086.48,21264.97
PC000031,1,Cone de britagem,7,45162.96,42055.94
PC000031,2,Manta de revestimento de britador,1,40479.13,43894.59
PC000031,3,Placa de desgaste do britador,6,14026.68,13166.44
PC000032,1,Raspador de correia primário,1,2289.22,2688.6
PC000032,2,Rolete de carga,4,3189.71,3112.34
PC000032,3,Correia transportadora EP630 3 lonas,4,7957.22,9221.15
PC000032,4,Tambor de acionamento,5,20872.85,21672.54
PC000032,5,Tambor de acionamento,3,4147.85,4083.27
PC000033,1,Óculos de segurança ampla visão,253,145.63,161.31
PC000034,1,Rolamento de britador,7,26769.15,30166.23
PC000034,2,Manta de revestimento de britador,2,52610.64,54761.87
PC000034,3,Rolamento de britador,5,43922.54,40464.51
PC000034,4,Placa de desgaste do britador,5,31969.2,31593.2
PC000034,5,Placa de desgaste do britador,2,57175.4,52345.22
PC000035,1,Graxa de lítio EP2,85,416.32,398.42
PC000036,1,Mandíbula fixa para britador,1,40018.99,38496.18
PC000036,2,Placa de desgaste do britador,7,28762.84,26387.1
PC000036,3,Eixo principal de britador,1,60819.24,58356.73
PC000037,1,Estopim de segurança,400,162.48,175.8
PC000038,1,Pneu OTR 27.00R49,3,64192.12,68594.31
PC000038,2,Pneu OTR 40.00R57,2,84507.94,80630.11
PC000039,1,Correia transportadora EP630 3 lonas,5,19714.67,18457.51
PC000039,2,Correia transportadora EP630 3 lonas,1,5186.92,5156.13
PC000039,3,Emenda de correia vulcanizada,5,12781.01,11913.15
PC000040,1,Manta de revestimento de britador,1,19594.93,19466.96
PC000040,2,Cone de britagem,5,62398.09,57156.85
PC000040,3,Manta de revestimento de britador,6,14975.05,14239.19
PC000040,4,Placa de desgaste do britador,7,32387.77,35694.28
PC000041,1,Mandíbula fixa para britador,7,45514.42,44893.95
PC000041,2,Placa de desgaste do britador,6,17872.55,16937.41
PC000041,3,Eixo principal de britador,6,12950.14,12582.75
PC000041,4,Cone de britagem,7,33119.46,35246.05
PC000041,5,Mandíbula fixa para britador,4,23132.9,25319.57
PC000042,1,Respirador semifacial,84,91.73,95.54
PC000043,1,Tambor de acionamento,11,18133.41,16429.51
PC000043,2,Tambor de acionamento,3,12731.08,11834.43
PC000043,3,Emenda de correia vulcanizada,10,2925.08,2820.04
PC000043,4,Correia transportadora EP630 3 lonas,1,2863.04,2836.92
PC000043,5,Correia transportadora EP630 3 lonas,10,13985.25,15460.88
PC000044,1,Emulsão explosiva bombeada,62,546.48,488.85
PC000044,2,Booster 450g,268,348.03,391.92
PC000044,3,Espoleta eletrônica,278,297.51,319.38
PC000044,4,Espoleta eletrônica,208,227.7,252.36
PC000045,1,Compressor para perfuração,1,684695.56,732668.26
PC000045,2,Compressor para perfuração,1,774176.53,746446.18
PC000045,3,Punho de perfuração,3,1044394.47,966661.39
PC000046,1,Luva de raspa de couro,495,229.53,270.03
PC000046,2,Bota de segurança com biqueira,49,115.81,109.16
PC000046,3,Bota de segurança com biqueira,437,281.32,260.62
PC000047,1,Disjuntor caixa moldada 400A,24,21415.44,19807.77
PC000047,2,Disjuntor caixa moldada 400A,15,30146.35,27554.67
PC000048,1,Disjuntor caixa moldada 400A,25,19314.78,17307.89
PC000048,2,Inversor de frequência 75kW,26,27459.79,27288.92
PC000048,3,Transformador a seco 500kVA,28,18267.07,16830.3
PC000049,1,Emenda de correia vulcanizada,8,23398.51,22288.8
PC000049,2,Rolete de carga,9,9973.18,10288.09
PC000050,1,Booster 450g,251,374.22,421.29
PC000050,2,Cordel detonante 10g/m,325,14.29,15.09
PC000050,3,Espoleta eletrônica,290,593.54,564.85
PC000051,1,Haste de perfuração T45,3,727330.35,680380.24
PC000051,2,Compressor para perfuração,2,576935.06,560747.56
