id_lancamento,id_centro,id_conta,mes,valor_realizado
LAN000001,CC01,310001,2023-12-01,21542283.99
LAN000002,CC01,310001,2024-01-01,24094497.16
LAN000003,CC01,310001,2024-02-01,23368688.48
LAN000004,CC01,310001,2024-03-01,25913238.69
LAN000005,CC01,310001,2024-04-01,27735076.48
LAN000006,CC01,310001,2024-05-01,29123138.79
LAN000007,CC01,310001,2024-06-01,29204739.29
LAN000008,CC01,310001,2024-07-01,30705990.94
LAN000009,CC01,310001,2024-08-01,28392920.57
LAN000010,CC01,310001,2024-09-01,26747775.88
LAN000011,CC01,310001,2024-10-01,24389305.05
LAN000012,CC01,310001,2024-11-01,25162027.23
LAN000013,CC01,310001,2024-12-01,23668817.88
LAN000014,CC01,310001,2025-01-01,24473025.58
LAN000015,CC01,310001,2025-02-01,26930040.65
LAN000016,CC01,310001,2025-03-01,27367264.66
LAN000017,CC01,310001,2025-04-01,31338596.54
LAN000018,CC01,310001,2025-05-01,30168531.73
LAN000019,CC01,310001,2025-06-01,31484155.67
LAN000020,CC01,310001,2025-07-01,32268579.46
LAN000021,CC01,310001,2025-08-01,29863664.85
LAN000022,CC01,310001,2025-09-01,29178801.16
LAN000023,CC01,310001,2025-10-01,26752952.42
LAN000024,CC01,310001,2025-11-01,26097120.33
LAN000025,CC01,310001,2025-12-01,26336521.69
LAN000026,CC01,310001,2026-01-01,25973733.91
LAN000027,CC01,310001,2026-02-01,29856969.79
LAN000028,CC01,310001,2026-03-01,29119297.79
LAN000029,CC01,310001,2026-04-01,30699788.03
LAN000030,CC01,310001,2026-05-01,33873452.65
LAN000031,CC02,310001,2023-12-01,19715771.38
LAN000032,CC02,310001,2024-01-01,20157056.66
LAN000033,CC02,310001,2024-02-01,21085437.33
LAN000034,CC02,310001,2024-03-01,22056130.88
LAN000035,CC02,310001,2024-04-01,24069020.77
LAN000036,CC02,310001,2024-05-01,24853989.33
LAN000037,CC02,310001,2024-06-01,25017575.67
LAN000038,CC02,310001,2024-07-01,27249079.68
LAN000039,CC02,310001,2024-08-01,23362853.27
LAN000040,CC02,310001,2024-09-01,23111755.08
LAN000041,CC02,310001,2024-10-01,22498286.81
LAN000042,CC02,310001,2024-11-01,21457647.86
LAN000043,CC02,310001,2024-12-01,21086680.55
LAN000044,CC02,310001,2025-01-01,21335252.92
LAN000045,CC02,310001,2025-02-01,21776260.11
LAN000046,CC02,310001,2025-03-01,23730943.15
LAN000047,CC02,310001,2025-04-01,25905454.88
LAN000048,CC02,310001,2025-05-01,26235950.53
LAN000049,CC02,310001,2025-06-01,28573777.6
LAN000050,CC02,310001,2025-07-01,26140703.42
LAN000051,CC02,310001,2025-08-01,25836109.71
LAN000052,CC02,310001,2025-09-01,23993279.5
LAN000053,CC02,310001,2025-10-01,23238544.73
LAN000054,CC02,310001,2025-11-01,22505800.04
LAN000055,CC02,310001,2025-12-01,23017077.39
LAN000056,CC02,310001,2026-01-01,22220110.85
LAN000057,CC02,310001,2026-02-01,25376977.74
LAN000058,CC02,310001,2026-03-01,26500604.73
LAN000059,CC02,310001,2026-04-01,26548357.35
LAN000060,CC02,310001,2026-05-01,27762143.35
LAN000061,CC03,310001,2023-12-01,16286974.74
LAN000062,CC03,310001,2024-01-01,16259054.11
LAN000063,CC03,310001,2024-02-01,16798623.49
LAN000064,CC03,310001,2024-03-01,18643677.3
LAN000065,CC03,310001,2024-04-01,20197662.44
LAN000066,CC03,310001,2024-05-01,20855979.66
LAN000067,CC03,310001,2024-06-01,21012694.13
LAN000068,CC03,310001,2024-07-01,22121977.37
LAN000069,CC03,310001,2024-08-01,19473250.05
LAN000070,CC03,310001,2024-09-01,19579115.46
LAN000071,CC03,310001,2024-10-01,18716155.63
LAN000072,CC03,310001,2024-11-01,17910627.44
LAN000073,CC03,310001,2024-12-01,17259757.82
LAN000074,CC03,310001,2025-01-01,17869572.48
LAN000075,CC03,310001,2025-02-01,18283278.23
LAN000076,CC03,310001,2025-03-01,19073590.06
LAN000077,CC03,310001,2025-04-01,22088601.15
LAN000078,CC03,310001,2025-05-01,22853673.2
LAN000079,CC03,310001,2025-06-01,22636605.74
LAN000080,CC03,310001,2025-07-01,23143017.81
LAN000081,CC03,310001,2025-08-01,21795766.0
LAN000082,CC03,310001,2025-09-01,19983579.87
LAN000083,CC03,310001,2025-10-01,20278504.74
LAN000084,CC03,310001,2025-11-01,18289486.16
LAN000085,CC03,310001,2025-12-01,18619308.82
LAN000086,CC03,310001,2026-01-01,18710644.77
LAN000087,CC03,310001,2026-02-01,19194305.86
LAN000088,CC03,310001,2026-03-01,21096764.26
LAN000089,CC03,310001,2026-04-01,23377473.0
