id_leitura,id_ativo,data_hora,temperatura,vibracao,pressao,rpm
LE0000481,ATV001,2026-05-24 00:00:00,57.1,3.54,4.31,1502
LE0000482,ATV001,2026-05-24 03:00:00,53.4,3.35,5.26,1444
LE0000483,ATV001,2026-05-24 06:00:00,50.0,3.54,4.62,1425
LE0000484,ATV001,2026-05-24 09:00:00,52.0,3.69,5.08,1431
LE0000485,ATV001,2026-05-24 12:00:00,51.4,3.52,5.73,1418
LE0000486,ATV001,2026-05-24 15:00:00,52.7,3.51,4.68,1427
LE0000487,ATV001,2026-05-24 18:00:00,56.3,3.25,4.11,1439
LE0000488,ATV001,2026-05-24 21:00:00,56.5,3.27,4.9,1409
LE0000489,ATV001,2026-05-25 00:00:00,60.1,3.01,5.39,1450
LE0000490,ATV001,2026-05-25 03:00:00,56.5,4.11,5.69,1476
LE0000491,ATV001,2026-05-25 06:00:00,52.7,3.06,4.57,1424
LE0000492,ATV001,2026-05-25 09:00:00,54.1,3.26,5.17,1494
LE0000493,ATV001,2026-05-25 12:00:00,52.8,3.25,4.84,1465
LE0000494,ATV001,2026-05-25 15:00:00,53.6,3.81,4.96,1480
LE0000495,ATV001,2026-05-25 18:00:00,59.8,3.4,5.93,1431
LE0000496,ATV001,2026-05-25 21:00:00,59.2,3.94,4.47,1475
LE0000497,ATV001,2026-05-26 00:00:00,55.6,3.26,5.09,1418
LE0000498,ATV001,2026-05-26 03:00:00,54.7,3.61,5.16,1476
LE0000499,ATV001,2026-05-26 06:00:00,51.3,3.23,5.38,1455
LE0000500,ATV001,2026-05-26 09:00:00,49.6,4.29,5.04,1466
LE0000501,ATV001,2026-05-26 12:00:00,54.4,3.15,5.11,1415
LE0000502,ATV001,2026-05-26 15:00:00,58.5,3.7,4.87,1423
LE0000503,ATV001,2026-05-26 18:00:00,55.5,3.84,5.11,1466
LE0000504,ATV001,2026-05-26 21:00:00,59.8,3.8,4.89,1421
LE0000505,ATV001,2026-05-27 00:00:00,56.9,3.62,5.24,1462
LE0000506,ATV001,2026-05-27 03:00:00,55.0,3.67,4.89,1408
LE0000507,ATV001,2026-05-27 06:00:00,52.6,3.77,5.16,1472
LE0000508,ATV001,2026-05-27 09:00:00,51.3,3.75,5.02,1411
LE0000509,ATV001,2026-05-27 12:00:00,54.0,4.18,5.43,1463
LE0000510,ATV001,2026-05-27 15:00:00,55.0,4.66,5.02,1465
LE0000511,ATV001,2026-05-27 18:00:00,59.3,3.73,4.42,1426
LE0000512,ATV001,2026-05-27 21:00:00,59.9,3.49,5.49,1462
LE0000513,ATV001,2026-05-28 00:00:00,58.8,3.99,4.73,1453
LE0000514,ATV001,2026-05-28 03:00:00,55.6,4.97,4.83,1429
